datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name,square_diagonal,query_count,query_long,query_lat,dist_from_center,p_name
0.9995,304.8,METERS,GHCND_USW00013969,36.73667,-97.10194,10/16/2018,1/1/1948,"PONCA CITY MUNICIPAL AIRPORT, OK US",2.139864108,14,-97.30629718,36.57236456,0.262217721,Thunder Ranch
0.9872,299.9,METERS,GHCND_USW00003965,36.1624,-97.0894,10/16/2018,11/1/1996,"STILLWATER REGIONAL AIRPORT, OK US",2.139864108,14,-97.30629718,36.57236456,0.463805265,Thunder Ranch
0.9675,272.8,METERS,GHCND_USC00348501,36.1175,-97.095,10/17/2018,1893-01-01,"STILLWATER 2 W, OK US",2.139864108,14,-97.30629718,36.57236456,0.501545873,Thunder Ranch
0.8607,1309.4,METERS,GHCND_USW00024030,41.0993,-102.9863,10/16/2018,1/1/1948,"SIDNEY MUNICIPAL AIRPORT, NE US",1.78322009,13,-103.3222277,40.96195528,0.362920104,Peetz Table
0.9565,1316.7,METERS,GHCND_USC00257830,41.2294,-103.0214,9/30/2018,12/1/1908,"SIDNEY 6 NNW, NE US",1.78322009,13,-103.3222277,40.96195528,0.402522039,Peetz Table
0.9988,1130.5,METERS,GHCND_USC00051996,40.86,-102.803,10/17/2018,3/1/1996,"CROOK, CO US",1.78322009,13,-103.3222277,40.96195528,0.529142986,Peetz Table
0.9804,545.6,METERS,GHCND_USW00013962,32.4105,-99.6822,10/16/2018,8/1/1946,"ABILENE REGIONAL AIRPORT, TX US",2.567836929,15,-100.1739645,32.25311485,0.516335579,Horse Hollow
0.9411,594.1,METERS,GHCND_USC00414278,31.84555,-99.56068,10/17/2018,7/1/1953,"HORDS CREEK DAM, TX US",2.567836929,15,-100.1739645,32.25311485,0.736360654,Horse Hollow
0.8222,598.6,METERS,GHCND_USC00416499,31.45389,-100.49333,1/31/2008,12/1/1975,"O C FISHER DAM, TX US",2.567836929,15,-100.1739645,32.25311485,0.860671058,Horse Hollow
0.8793,786.4,METERS,GHCND_USW00024012,46.7994,-102.7972,10/16/2018,11/14/1938,"DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT, ND US",3.081404315,16,-102.7563893,46.65634827,0.148759234,Brady Wind I
0.9498,749.8,METERS,GHCND_USC00322188,46.89138,-102.81055,2/19/2016,1893-01-01,"DICKINSON EXPERIMENTAL STATION, ND US",3.081404315,16,-102.7563893,46.65634827,0.241191406,Brady Wind I
0.995,824.5,METERS,GHCND_USW00094038,46.01389,-102.65472,10/16/2018,7/1/1996,"HETTINGER MUNICIPAL AIRPORT, ND US",3.081404315,16,-102.7563893,46.65634827,0.650453133,Brady Wind I
0.9704,414.5,METERS,GHCND_USW00013980,37.155,-98.0282,10/17/2018,1896-10-01,"ANTHONY, KS US",2.567836929,15,-98.25266603,37.3711574,0.311623199,Flat Ridge 2
0.9843,467.9,METERS,GHCND_USW00003957,37.2839,-98.5528,10/16/2018,2/5/1998,"MEDICINE LODGE 1 E, KS US",2.567836929,15,-98.25266603,37.3711574,0.312560803,Flat Ridge 2
0.9526,365.8,METERS,GHCND_USC00343740,36.7425,-98.133,9/10/2018,3/12/1946,"GREAT SALT PLAINS DAM, OK US",2.567836929,15,-98.25266603,37.3711574,0.639945375,Flat Ridge 2
0.9084,502.9,METERS,GHCND_USC00253075,41.3594,-97.9761,11/30/2013,3/1/1901,"FULLERTON, NE US",2.567836929,15,-98.11013231,41.93217061,0.588243855,Prairie Breeze
0.9788,515.1,METERS,GHCND_USC00256396,42.3691,-97.5983,7/31/2013,9/1/2008,"OSMOND NUMBER 1, NE US",2.567836929,15,-98.11013231,41.93217061,0.672963304,Prairie Breeze
